date,agegrp,covid_deaths
2020-09-30 00:00:00,60-69,2
2020-09-30 00:00:00,70-79,4
2020-09-30 00:00:00,80+,5
2020-10-01 00:00:00,30-39,1
2020-10-01 00:00:00,60-69,3
2020-10-01 00:00:00,70-79,2
2020-10-01 00:00:00,80+,11
2020-10-02 00:00:00,50-59,1
2020-10-02 00:00:00,60-69,3
2020-10-02 00:00:00,70-79,5
2020-10-02 00:00:00,80+,7
2020-10-03 00:00:00,50-59,3
2020-10-03 00:00:00,60-69,4
2020-10-03 00:00:00,70-79,4
2020-10-03 00:00:00,80+,7
2020-10-04 00:00:00,50-59,1
2020-10-04 00:00:00,60-69,3
2020-10-04 00:00:00,70-79,2
2020-10-04 00:00:00,80+,7
2020-10-05 00:00:00,60-69,2
2020-10-05 00:00:00,70-79,6
2020-10-05 00:00:00,80+,3
2020-10-06 00:00:00,30-39,1
2020-10-06 00:00:00,50-59,1
2020-10-06 00:00:00,60-69,1
2020-10-06 00:00:00,70-79,3
2020-10-06 00:00:00,80+,7
2020-10-07 00:00:00,50-59,2
2020-10-07 00:00:00,70-79,5
2020-10-07 00:00:00,80+,8
2020-10-08 00:00:00,60-69,3
2020-10-08 00:00:00,70-79,6
2020-10-08 00:00:00,80+,13
2020-10-09 00:00:00,60-69,1
2020-10-09 00:00:00,70-79,5
2020-10-09 00:00:00,80+,14
2020-10-10 00:00:00,30-39,1
2020-10-10 00:00:00,40-49,1
2020-10-10 00:00:00,70-79,2
2020-10-10 00:00:00,80+,10
2020-10-11 00:00:00,60-69,2
2020-10-11 00:00:00,70-79,7
2020-10-11 00:00:00,80+,10
2020-10-12 00:00:00,50-59,1
2020-10-12 00:00:00,60-69,1
2020-10-12 00:00:00,70-79,7
2020-10-12 00:00:00,80+,10
2020-10-13 00:00:00,50-59,1
2020-10-13 00:00:00,60-69,4
2020-10-13 00:00:00,70-79,6
2020-10-13 00:00:00,80+,12
2020-10-14 00:00:00,50-59,1
2020-10-14 00:00:00,60-69,1
2020-10-14 00:00:00,70-79,5
2020-10-14 00:00:00,80+,9
2020-10-15 00:00:00,40-49,1
2020-10-15 00:00:00,50-59,1
2020-10-15 00:00:00,60-69,5
2020-10-15 00:00:00,70-79,11
2020-10-15 00:00:00,80+,11
2020-10-16 00:00:00,40-49,1
2020-10-16 00:00:00,50-59,1
2020-10-16 00:00:00,60-69,5
2020-10-16 00:00:00,70-79,9
2020-10-16 00:00:00,80+,20
2020-10-17 00:00:00,40-49,2
2020-10-17 00:00:00,50-59,1
2020-10-17 00:00:00,60-69,2
2020-10-17 00:00:00,70-79,6
2020-10-17 00:00:00,80+,8
2020-10-18 00:00:00,60-69,4
2020-10-18 00:00:00,70-79,5
2020-10-18 00:00:00,80+,15
2020-10-19 00:00:00,50-59,1
2020-10-19 00:00:00,60-69,1
2020-10-19 00:00:00,70-79,8
2020-10-19 00:00:00,80+,8
2020-10-20 00:00:00,40-49,1
2020-10-20 00:00:00,50-59,1
2020-10-20 00:00:00,60-69,7
2020-10-20 00:00:00,70-79,8
2020-10-20 00:00:00,80+,14
2020-10-21 00:00:00,40-49,1
2020-10-21 00:00:00,50-59,1
2020-10-21 00:00:00,60-69,6
2020-10-21 00:00:00,70-79,6
2020-10-21 00:00:00,80+,15
2020-10-22 00:00:00,50-59,1
2020-10-22 00:00:00,60-69,6
2020-10-22 00:00:00,70-79,8
2020-10-22 00:00:00,80+,12
2020-10-23 00:00:00,20-29,1
2020-10-23 00:00:00,60-69,1
2020-10-23 00:00:00,70-79,6
2020-10-23 00:00:00,80+,13
2020-10-24 00:00:00,20-29,1
2020-10-24 00:00:00,50-59,2
2020-10-24 00:00:00,60-69,1
2020-10-24 00:00:00,70-79,7
2020-10-24 00:00:00,80+,10
2020-10-25 00:00:00,40-49,1
2020-10-25 00:00:00,50-59,1
2020-10-25 00:00:00,60-69,4
2020-10-25 00:00:00,70-79,5
2020-10-25 00:00:00,80+,14
2020-10-26 00:00:00,30-39,1
2020-10-26 00:00:00,40-49,1
2020-10-26 00:00:00,50-59,1
2020-10-26 00:00:00,60-69,5
2020-10-26 00:00:00,70-79,4
2020-10-26 00:00:00,80+,26
2020-10-27 00:00:00,30-39,1
2020-10-27 00:00:00,40-49,1
2020-10-27 00:00:00,50-59,2
2020-10-27 00:00:00,60-69,4
2020-10-27 00:00:00,70-79,4
2020-10-27 00:00:00,80+,19
2020-10-28 00:00:00,20-29,1
2020-10-28 00:00:00,50-59,1
2020-10-28 00:00:00,60-69,1
2020-10-28 00:00:00,70-79,7
2020-10-28 00:00:00,80+,14
2020-10-29 00:00:00,60-69,6
2020-10-29 00:00:00,70-79,7
2020-10-29 00:00:00,80+,11
2020-10-30 00:00:00,40-49,1
2020-10-30 00:00:00,50-59,2
2020-10-30 00:00:00,60-69,7
2020-10-30 00:00:00,70-79,8
2020-10-30 00:00:00,80+,13
2020-10-31 00:00:00,60-69,2
2020-10-31 00:00:00,80+,9
