LOCATION_ID,GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME
18001,F,40-49,2020-08-31 00:00:00,1,Adams
18001,F,40-49,2020-09-17 00:00:00,2,Adams
18001,F,40-49,2020-09-18 00:00:00,1,Adams
18001,F,40-49,2020-09-25 00:00:00,1,Adams
18001,F,40-49,2020-09-29 00:00:00,1,Adams
18001,F,40-49,2020-10-02 00:00:00,1,Adams
18001,F,40-49,2020-10-05 00:00:00,2,Adams
18001,F,40-49,2020-10-07 00:00:00,2,Adams
18001,F,40-49,2020-10-08 00:00:00,1,Adams
18001,F,40-49,2020-10-09 00:00:00,1,Adams
18001,F,40-49,2020-10-11 00:00:00,3,Adams
18001,F,40-49,2020-10-12 00:00:00,1,Adams
18001,F,40-49,2020-10-14 00:00:00,1,Adams
18001,F,40-49,2020-10-15 00:00:00,2,Adams
18001,F,40-49,2020-10-18 00:00:00,1,Adams
18001,F,40-49,2020-10-20 00:00:00,2,Adams
18001,F,40-49,2020-10-22 00:00:00,2,Adams
18001,F,40-49,2020-10-23 00:00:00,3,Adams
18001,F,40-49,2020-10-25 00:00:00,5,Adams
18001,F,40-49,2020-10-26 00:00:00,2,Adams
18001,F,50-59,2020-05-29 00:00:00,1,Adams
18001,F,50-59,2020-06-12 00:00:00,1,Adams
18001,F,50-59,2020-06-14 00:00:00,1,Adams
18001,F,50-59,2020-06-19 00:00:00,2,Adams
18001,F,50-59,2020-07-22 00:00:00,1,Adams
18001,F,50-59,2020-07-23 00:00:00,1,Adams
18001,F,50-59,2020-07-27 00:00:00,1,Adams
18001,F,50-59,2020-07-31 00:00:00,1,Adams
18001,F,50-59,2020-08-06 00:00:00,1,Adams
18001,F,50-59,2020-08-10 00:00:00,1,Adams
18001,F,50-59,2020-08-11 00:00:00,2,Adams
18001,F,50-59,2020-08-12 00:00:00,1,Adams
18001,F,50-59,2020-08-13 00:00:00,2,Adams
18001,F,50-59,2020-08-16 00:00:00,1,Adams
18001,F,50-59,2020-08-20 00:00:00,2,Adams
18001,F,50-59,2020-08-26 00:00:00,2,Adams
18001,F,50-59,2020-08-31 00:00:00,1,Adams
18001,F,50-59,2020-09-02 00:00:00,1,Adams
18001,F,50-59,2020-09-14 00:00:00,1,Adams
18001,F,50-59,2020-09-22 00:00:00,3,Adams
18001,F,50-59,2020-09-23 00:00:00,1,Adams
18001,F,50-59,2020-10-02 00:00:00,1,Adams
18001,F,50-59,2020-10-05 00:00:00,1,Adams
18001,F,50-59,2020-10-09 00:00:00,2,Adams
18001,F,50-59,2020-10-10 00:00:00,1,Adams
18001,F,50-59,2020-10-11 00:00:00,3,Adams
18001,F,50-59,2020-10-15 00:00:00,1,Adams
18001,F,50-59,2020-10-16 00:00:00,1,Adams
18001,F,50-59,2020-10-21 00:00:00,1,Adams
18001,F,50-59,2020-10-22 00:00:00,2,Adams
18001,F,50-59,2020-10-24 00:00:00,2,Adams
18001,F,50-59,2020-10-25 00:00:00,4,Adams
18001,F,60-69,2020-04-09 00:00:00,1,Adams
18001,F,60-69,2020-04-17 00:00:00,1,Adams
18001,F,60-69,2020-06-01 00:00:00,1,Adams
18001,F,60-69,2020-06-08 00:00:00,1,Adams
18001,F,60-69,2020-06-19 00:00:00,1,Adams
18001,F,60-69,2020-06-28 00:00:00,1,Adams
18001,F,60-69,2020-07-17 00:00:00,1,Adams
18001,F,60-69,2020-08-08 00:00:00,1,Adams
18001,F,60-69,2020-08-10 00:00:00,2,Adams
18001,F,60-69,2020-08-11 00:00:00,1,Adams
18001,F,60-69,2020-08-13 00:00:00,1,Adams
18001,F,60-69,2020-08-14 00:00:00,2,Adams
18001,F,60-69,2020-08-21 00:00:00,1,Adams
18001,F,60-69,2020-08-23 00:00:00,1,Adams
18001,F,60-69,2020-08-25 00:00:00,1,Adams
18001,F,60-69,2020-08-26 00:00:00,2,Adams
18001,F,60-69,2020-08-28 00:00:00,1,Adams
18001,F,60-69,2020-08-30 00:00:00,1,Adams
18001,F,60-69,2020-09-08 00:00:00,2,Adams
18001,F,60-69,2020-09-18 00:00:00,1,Adams
18001,F,60-69,2020-09-22 00:00:00,1,Adams
18001,F,60-69,2020-09-26 00:00:00,1,Adams
18001,F,60-69,2020-09-30 00:00:00,1,Adams
18001,F,60-69,2020-10-01 00:00:00,1,Adams
18001,F,60-69,2020-10-04 00:00:00,1,Adams
18001,F,60-69,2020-10-07 00:00:00,1,Adams
18001,F,60-69,2020-10-09 00:00:00,2,Adams
18001,F,60-69,2020-10-11 00:00:00,1,Adams
18001,F,60-69,2020-10-12 00:00:00,1,Adams
18001,F,60-69,2020-10-15 00:00:00,1,Adams
18001,F,60-69,2020-10-16 00:00:00,2,Adams
18001,F,60-69,2020-10-18 00:00:00,1,Adams
18001,F,60-69,2020-10-19 00:00:00,2,Adams
18001,F,60-69,2020-10-20 00:00:00,1,Adams
18001,F,60-69,2020-10-22 00:00:00,1,Adams
18001,F,60-69,2020-10-24 00:00:00,1,Adams
18001,F,60-69,2020-10-25 00:00:00,1,Adams
18001,F,60-69,2020-10-26 00:00:00,2,Adams
18001,F,70-79,2020-06-15 00:00:00,1,Adams
18001,F,70-79,2020-07-02 00:00:00,1,Adams
18001,F,70-79,2020-07-14 00:00:00,1,Adams
18001,F,70-79,2020-07-21 00:00:00,1,Adams
18001,F,70-79,2020-07-31 00:00:00,1,Adams
18001,F,70-79,2020-08-30 00:00:00,1,Adams
18001,F,70-79,2020-09-07 00:00:00,2,Adams
18001,F,70-79,2020-09-08 00:00:00,1,Adams
18001,F,70-79,2020-09-16 00:00:00,1,Adams
18001,F,70-79,2020-09-18 00:00:00,1,Adams
18001,F,70-79,2020-09-24 00:00:00,1,Adams
18001,F,70-79,2020-09-26 00:00:00,1,Adams
18001,F,70-79,2020-10-01 00:00:00,1,Adams
18001,F,70-79,2020-10-04 00:00:00,1,Adams
18001,F,70-79,2020-10-05 00:00:00,2,Adams
18001,F,70-79,2020-10-07 00:00:00,1,Adams
18001,F,70-79,2020-10-08 00:00:00,1,Adams
18001,F,70-79,2020-10-11 00:00:00,1,Adams
18001,F,70-79,2020-10-14 00:00:00,5,Adams
18001,F,70-79,2020-10-16 00:00:00,2,Adams
18001,F,70-79,2020-10-18 00:00:00,1,Adams
18001,F,70-79,2020-10-19 00:00:00,2,Adams
18001,F,70-79,2020-10-23 00:00:00,1,Adams
18001,F,70-79,2020-10-25 00:00:00,3,Adams
18001,F,70-79,2020-10-26 00:00:00,1,Adams
18001,F,80+,2020-08-05 00:00:00,1,Adams
18001,F,80+,2020-08-07 00:00:00,1,Adams
18001,F,80+,2020-08-26 00:00:00,1,Adams
18001,F,80+,2020-09-11 00:00:00,1,Adams
18001,F,80+,2020-09-15 00:00:00,1,Adams
18001,F,80+,2020-09-16 00:00:00,1,Adams
18001,F,80+,2020-09-19 00:00:00,1,Adams
18001,F,80+,2020-09-26 00:00:00,2,Adams
18001,F,80+,2020-10-08 00:00:00,1,Adams
18001,F,80+,2020-10-13 00:00:00,1,Adams
18001,F,80+,2020-10-15 00:00:00,1,Adams
18001,F,80+,2020-10-16 00:00:00,2,Adams
18001,F,80+,2020-10-17 00:00:00,1,Adams
18001,F,80+,2020-10-23 00:00:00,1,Adams
18001,F,80+,2020-10-24 00:00:00,2,Adams
18001,F,80+,2020-10-25 00:00:00,1,Adams
18001,F,80+,2020-10-26 00:00:00,1,Adams
18001,M,0-19,2020-05-19 00:00:00,1,Adams
